,p
7_130,"Development of Cottage & Small Industries (CSIs) in Bhutan: The growth of CSIs are essential for poverty alleviation, employment generation and sustainable economic development of our country"
4_43,Institutionalizing multi-sectoral coordination committee to strengthening linkages between the education system and manpower needs of the country to address the mismatch of skills and aspirations;
4_42,Private Sector Development;
4_41,Implementation of the Rapid Investments in Selected Enterprises (RISE) programme;
4_40,Strategies to achieve this objective include
4_47,The tentative sector-wise new jobs required to be created is presented below
4_46,"In the Eleventh Plan, about 82,000 new jobs need to be created for approximately 120,000 job seekers, to ensure full employment of 97.5 percent"
4_45,The government will also explore decent and productive overseas employment particularly for the youth.
4_44,Incentivizing business and industries that give priority to employment of Bhutanese; and
9_44,5.9.4  Strategies
1_17,The two institutes of Zorig Chusum provide 2-6 year programmes in the 13 traditional arts and crafts
4_49,5.4.5  Key Programmes
4_48,The projections are based on past trends and new potential such as construction of seven new mega hydropower projects and doubling to tourist arrivals in the Eleventh Plan.
9_40,"Currently, Bhutan has about 350 ICT professionals within the civil service"
9_41,"However, the sector still lacks qualified professionals particularly in specialized ICT skills such as network security, cyber laws, software development and programming"
8_49,Strengthening Meteorological Network Coverage and Enhancing Weather and Climate Information Services - The current observation network in Bhutan is inadequate in terms of spatial coverage and representativeness
1_16,"Programmes offered vary from 6 months to 2 years at the certificate level in courses ranging from electrical, mechanical, construction engineering, auto-mechanics, driving, computer hardware, carpentry, furniture making"
16_49,Preparation of a plan for promotion and preservation of culture and traditions
12_12,"Generate employment and at the same time develop necessary skills for skilled and unskilled national manpower, thereby gradually reducing dependence on the expatriate work force."
8_54,Programme details are presented in Eleventh Plan Volume II document.
2_32,Health Human Resource: The Bhutanese Health System suffers from acute shortage of all categories of health personnel
12_13,The private sector is represented by the Construction Association of Bhutan under the Bhutan Chamber of Commerce and Industries (BCCI)
16_41,"Exhibitions and colloquiums on culture, religions, traditions and living expressions will be conducted.  Eleventh Five Year Plan - Main Document Volume I"
16_40,"Performing arts, social practices, tshechus, rituals and festivals will be preserved and promoted."
16_43,"Research and documentation of performing arts (Lozay, Zhungdra, Zhey, Tsangmo and Mask dance) will be promoted."
2_33,The training for most categories of health workers and especially for doctors is long and expensive
16_45,Archival survey and documentation in 5 Dzongkhags will be carried out.
12_10,"Lead the modernization of the construction industry through the introduction of appropriate machineries and technologies, including the maintenance of an equipment bank of machines not easily available in the market to support the government and the private sector."
14_32,"Differently-abled persons: According to the two stage child disability (aged 2-9 years) study53 carried out by NSB in 2012, the prevalence of any form disability was 21 percent"
13_71,Programme details are presented in Eleventh Plan Volume II document.
17_95,Mainstreaming of environment across all sectoral and local government programmes and projects
12_11,"Participate in the booming construction industry, introducing technology intensive construction and building capacity of local construction industry through collaborations."
14_7,The other agency responsible is the National Commission for Women and Children which was established in 2004 to fulfill Bhutan's obligations towards the Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW) and the Convention on the Rights of the Child (CRC)
10_17,Air transport - Aviation services in Bhutan commenced in 1983 with Druk Air flights to Kolkata with fleet of two 18-seat Dornier 228 aircraft
17_98,Eleventh Five Year Plan - Main Document Volume I
12_16,"However, poor quality of construction, human resource constraints and high construction costs continue to affect the sector"
9_18,"Further, the e-Gov Master Plan, Telecom & Broadband Policy, Media Policy, Film Policy and Advertisement Policy have been drafted and will be submitted to the government for approval in the Eleventh Plan."
17_97,"A mainstreaming framework has been developed to guide sectors and local governments in the integration of cross cutting issues in plans, programmes and activities"
12_17,"The main thrust in the Eleventh Plan will, therefore, be on enhancing the quality of construction through efficient and appropriate technology, mechanization and human resource development."
9_39,Talent Pool - the strength of the ICT sector is primarily determined by availability of a rich pool of competent information and communications professionals
9_38,"An alternate link through Cox's Bazaar, Bangladesh will be explored."
17_96,"In this context, the Eleventh Plan SKRAs are formulated based on the four pillars of GNH and this requires all sectors/ local governments to address environmental issues"
7_126,Promotion of sustainable and environment friendly industrial development
9_31,"Currently, telecommunication tariffs in Bhutan are much higher than those in India with differences ranging from 114 percent for 1 mbps to 315 percent for 8 mbps"
9_30,"Telecom tariff - Telecommunication tariff will be an important consideration for investors to set-up BPOs, KPOs, Data Centre and IT enabled services"
9_33,The tariff structure will be reviewed to make it more competitive and affordable.
7_127,- The focus will be on development of industrial parks to promote private sector development and enhance socio-economic activity in a particular region
9_35,"At present, all telecom links to the outside world are routed through Siliguri, India"
9_34,International redundancy: International redundancy is defined as direct telecom infrastructural links with multiple countries
9_37,An alternate telecom link with the outside world is necessary for international redundancy without which it may be difficult to position Bhutan as a potential hub for ICT and ICT enabled services
9_36,Any operational failure in the telecom link through Siliguri could lead to connectivity problems
14_19,"Domestic laws such as Child Adoption Act 2012, Child Care and Protection Act ofBhutan 2011, Narcotic Drugs, Psychotropic Substances and Substance Abuse Act 2005and Rape Act 1996 have been enacted to protect the rights and welfare of individuals.At the international level, Bhutan is a signatory to the Convention on Eliminationof all Forms of Discrimination Against Women (CE DAW), Convention of Rights ofthe Child (CRC) and the UN Convention on the Rights of Persons with Disabilities.Existing Facilities - The National Institute for the Visually Impaired established in1973 was the first institution established for special needs children"
14_4,Many urban areas are already confronted with these challenges and for the first time the Eleventh Plan pays special attention to these issues.
17_93,The key strategies include:
18_4,5.18.1 Current Situation
16_24,5.16.2 Key Challenges
1_7,"The responsibility for the administration of education in Bhutan is shared amongst the Ministry of Education (MoE), the Ministry of Labour and Human Resources (MoLHR), the Royal University of Bhutan (RUB), and the local governments"
1_6,"Education in Bhutan comprises early childcare development, primary and secondary education, special education for the physically and mentally challenged, non-formal and adult education, monastic education, vocational and technical education and training (TVET) and higher or tertiary education"
1_5,"Recognizing this, the education sector continues to remain a strategic priority for the Royal Government and will be given further impetus in the Eleventh Plan."
1_4,"Similarly, the realization of our vision of a ""knowledge based society"" is absolutely dependent on a technically skilled workforce with competencies benchmarked to leading industry standards and capabilities to think globally but act locally"
1_3,"An educated citizenry that is able to understand, translate and act upon information, laws, rights and responsibilities is critical for ensuring a ""vibrant democracy"" and effective governance"
1_2,"Education virtually impacts all dimensions of development and is critical for ensuring sustainable poverty alleviation which can only come through the empowerment of our people, particularly the remote and most vulnerable sections of our population"
1_1,"The single most important factor towards achieving the socio-economic development goals will be the success of the education sector in enhancing the social, economic, cultural, environmental, and political capabilities of our most important asset, our people"
1_0,Education Sector
3_15,5.3.2  Key Challenges
3_14,A large percentage of civil servants not meeting the required qualification criteria were in the supervisory & support and operational position categories.
3_17,This is an issue of great concern particularly if the high numbers are in educational and vocational institutions.
3_16,"While the overall civil service size has been on the rise, the percentage of civil servants in various position levels not meeting the minimum qualification criteria remains high"
3_11,The executive and specialist position comprised less than 1 percent of the civil service.
3_10,"Professional and management position made up 49 percent of the total civil service, followed by supervisory and support positions with 40 percent and operational position 9 percent"
1_9,"Although education plans are centrally coordinated, their implementation has largely been decentralized to local governments, schools and institutions to ensure greater autonomy, accountability and dynamism to achieve desired educational outcomes."
1_8,Provision of monastic education is facilitated by the central monastic body and privately managed independent monasteries
7_91,"10,411 million), mineral products (Nu"
14_5,5.14.1 Current Situation
7_90,"31,485 million comprised of electricity (Nu"
7_93,"10,476 million - steel bars, ingots and copper wire)"
14_6,"Institutional set-up - Currently, the Ministries of Health and Education are taking the initiative to address issues related to youth, orphans, differently abled person, and senior citizen issues"
7_92,"4,626 million - ferro-alloys, calcium carbide, silicon manganese and silicon carbide) and base metal (Nu"
14_17,"Its main aim is to promote a strong support system based on solidarity, social networking and people's participation for addressing and taking collective action towards effective responses to HIV/ AIDS and its impact."
14_31,Royal Bhutan Police established the Youth Development and Rehabilitation Center in Tshimasham in 1999 with the aim to provide reformative training for juveniles in conflict with the law.
7_95,"Further, due to high import content of raw materials for these products, they account for the highest share of the import bill"
7_94,The export earnings from these products are highly vulnerable with the production of electricity highly dependent on hydrological flows and the uninterrupted operation of the hydro power plants and mineral and base metals products being currently competitive only due to cheap electricity rather than any technological advantage
7_97,"8,565 million and Nu"
7_96,The import bills for base metal and mineral products in 2011 were Nu
7_99,"The next major export product is agriculture products (mandarin, potatoes, apples, cordyceps and agro products) which accounted for about 5 percent of the total exports"
7_98,"10,805 million respectively"
18_44,"The capacity of the local governments will be strengthened through training, deployment of adequate number of technically qualified personnel and ensuring minimum facilities are available."
13_48,"Further, other issues such as timely availability of land, resources to implement structural and local area plans and resistance to introduction of new/revision of taxes, hamper strategic human settlement development."
13_49,Housing - National Housing Development Corporation was established in 2003 to implement the National Housing Policy 2002 objective of providing safe and affordable housing for all
10_47,"At the same time, upgradation of Gelephu to an international airport will also be explored"
10_46,"Air Transport - The key strategy will be to strengthen Paro International Airport through expansion of infrastructure facilities and upgradation of security and navigational equipment to increase its capacity to handle more passengers, cargo and flights"
10_45,"To address the issue of coordination and implementation, integration and streamlining of transport activities under one agency will be explored."
10_44,"Road safety will be strengthened by improving driver licensing procedures, motor vehicle fitness standards, public safety awareness campaigns (especially on drink driving and over-speeding) and equipping road safety authorities with necessary equipments and tools to monitor road safety."
10_43,"In urban areas, eco-friendly mass public transportation services will be introduced to reduce road congestion, vehicle emissions and improve public service efficiency"
10_42,"Surface Transport - Access to public transportation, particularly in rural areas, will be expanded by incentivizing transport operators through special subsidies"
10_41,Since both Acts were legislated more than a decade ago they will be reviewed and revised during the current Plan period.
10_40,The surface transport is regulated by the Road Safety & Transport Act 1999 and air transport by the Civil Aviation Act 2000
17_90,"To achieve food security, addressing this issue will be essential."
10_49,Bhutan will continue to pursue further signing of Air Service Agreements to expand air services to and from international destinations.
10_48,"Further, improvements of the three domestic airports will be carried out to enhance safety and reliability and to facilitate increased domestic air transport"
1_62,Assessment in the classroom does not close the loop between what is taught and what students learn;
1_63,Low academic and professional standards for entry into teaching profession;
1_60,Graduates lack basic analytical and communication skills and the attitudes needed as entry level professions;
1_61,Teaching consists of one way teacher-led chalk-and-talk without being able to get the students to comprehend and demonstrate learning;
1_66,"The supporting systems for schools need a great degree of strengthening in the areas of teacher preparation, curriculum standards and resources and the incentives for quality."
1_67,"The report underscored three critical reasons for the persistence of ineffective classroom practices across schools: namely under-prepared teachers, lack of appropriate curricular resources, and poor instructional leadership and in-service training"
1_64,"Schools lack quality processes for developing teachers' capacity, the autonomy and instructional resources to initiate academic improvement and the essential physical infrastructure to support learning;"
1_65,No clear link between the stated national socio-economic goals and the goals of the education system;
1_68,The study recommended a thoughtfully designed and carefully implemented comprehensive reform effort to bridge the gap between the current set of challenges facing our school system and the high aspirations it holds
1_69,"Various other studies/reports also suggest that education infrastructure facilities alone are not sufficient to improve education outcomes but adequate, motivated and appropriately qualified teachers play a critical role in ensuring quality education"
17_42,The river was investigated at three different stretches for water quality assessment viz
8_6,"Currently, construction of 1,020 MW Punatsangchhu I Hydroelectric Project, 1,000 MW Punatsangchhu II and 720 MW Mangdechhu Hydroelectric Projects are ongoing"
8_7,All three projects are scheduled to be completed by 2017-18.
8_4,"The main thrust area for the Energy sector in the Eleventh Plan is ""Energy Security for Sustainable Development""."
8_5,5.8.1  Current Situation
8_2,"Bhutan has an estimated hydropower potential of 23,760 MW with a mean annual energy production capability close to 100,000 GWh"
8_3,"At present, the installed hydropower capacity is 1,488 MW, about 5 percent of the total potential."
8_0,"Hydropower, Renewable Energy and Hydromet Sector"
8_1,The energy sector is the lynchpin of our economy and accounts for about 18 percent of total revenues and about 20 percent of GDP
8_8,"The other projects, to achieve 10,000 MW hydroelectricity generations by 2020, are planned to start construction during the current Plan period"
8_9,The construction period ranges from 8-9 years.
9_13,5.9.1  Current Situation
9_12,Special attention will be paid to tapping the potential of mobile technology for delivering services including for financial payments.
13_58,"Human Settlement - To ensure sustainable development of human settlements, new legislation and policies will be formulated and existing rules and regulations reviewed and improved"
17_43,"Cheri, Babesa, and"
7_46,76.00 million and Nu
9_11,"The focus will be on consolidating the E-gov projects such as the G2C, establishing a government data centre, and further improving the nationwide intranet system - Thimphu Wide Area Network (TWAN) & Dzongkhag Local Area Network (DLANs) for smooth and seamless functioning of many of our online services"
2_70,The Health Sector will continue to explore areas which can be decentralized to the districts
2_71,"Capacities to improve efficiency in management, coordination and planning including resource mobilization shall be pursued to strengthen the initiative of decentralized approach."
2_72,"In line with the commitment to work towards achieving Universal Health Coverage (UHC), the package of Health services to be delivered at every level of health facilities shall be standardized and expansion of services will be explored on need basis."
2_73,"Health Prevention and Promotion - There has been global evidences to indicate that investment in health prevention and promotion aspects are more cost effective, than treating diseases, particularly the NCDs, which requires lifelong and expensive treatment"
2_74,"Emphasis will be continued to strengthen preventive and health promotion, through intensifying awareness programmes, enhancing cross-sectoral coordination, and advocating for health in all policies to address public health challenges such as, but not limiting to NCDs, injuries, HIV/AIDS, TB, Malaria, Maternal and Child Health, Nutrition and Neglected tropical Diseases."
2_75,Health human resources development - Development of health human resource in line with the Health HRD Master Plan shall be accelerated
2_76,Effective planning and efficient deployment of health personnel to improve service delivery will be pursued
2_77,"The deployment of health personnel to hospitals, BHUs and ORCs will be need-based depending on number of patients attended by these health centres."
2_78,Sustainable Health Financing - There is a global push to go for achieving Universal Health Coverage (UHC)
2_79,"For a developing country like Bhutan, in order to achieve UHC, almost 5 percent of the GDP and 8 percent of the total government budget needs to be allocated to health sector"
8_33,If the barrier is broken the water body from Thorthormi would flow into Raphstreng creating the threat of a possible outburst flood
7_33,169.35 million in 2011
9_15,The key indicators of the ICT and Media sector are as follows:
7_32,75.41 million in 2007 to Nu
14_1,"With development, Bhutan is confronted with new social challenges such as those related to youth, senior citizens, single parents, orphans, differently-abled persons, domestic violence and crime"
17_40,"Water Quality of Wangchhu, Thimphu."
9_14,"Since the launch of television and internet on 2 June 1999 and cellular mobile on 11 November 2003, ICT and media sector has made significant progress"
7_31,Imports from Bangladesh increased from a meager amount of Nu
16_42,"Cultural heritage sites will be conserved and restored, incorporating disaster resilient measures."
1_131,in nearby schools and rationalizing smaller schools;
1_130,"Consolidation of schools through provision of additional facilities such as hostels, kitchen and store, warden/matron quarters, toilet facilities, water supply, dining hall, etc"
1_133,v)Addressing gender gaps at higher secondary level through provision of gender responsive facilities such as hostels and hostel toilets for girls' toilets and housing for female teachers;
1_132,iv)Provision of staff quarters/allowances especially in remote and rural areas to make rural posting attractive and improve quality of education in the remote locations;
1_135,Enhance capacity of tertiary education to achieve GER at tertiary education of 35 percent by 2017-18;
1_134,"Strengthening curriculum research and development and finding mechanisms to enhance efficiency, accountability and retain specialized skills;"
1_137,Programme details are presented in Eleventh Plan Volume II document.
1_136,"Enhance quality and relevance of tertiary education programmes to meet the needs of individuals as well as the industry and society at large.i)Improve quality of TVET/VTI - infrastructure expansion, program diversification and curriculum improvement in close collaboration with the industries and private sector; and improving capacity of the instructors."
14_29,to differently-abled persons.
7_37,469.59 million in 2007 to Nu
6_47,"Further, the programme will ensure that local communities are able to reap the benefits from this industry"
7_36,"Similarly, exports to Bangladesh increased from Nu"
5_17,The share of agriculture to real GDP has declined by more than half from 25 percent in 2001/02 to 12 percent in 2011/12 mainly because of higher growth in other led by the electricity and construction and also due to various challenges faced by the sector itself
5_16,"The survey also reveals that among all occupation groups, 68.9 percent of those employed in agriculture worked for more than 48 hours per week due to the sector providing the lowest monthly income in all occupation groups."
5_15,"As per Labour Force Survey 2012, 62.2 percent of those employed were in RNR with 23.9 percent male and 38.4 percent female"
5_14,RNR sector is also the largest employer
5_13,"The nutritional status40, measured in terms of stunting prevalence, while reduced from 56 percent in 1988 to 33.5 percent in 2010, still remains high."
5_12,"1,154.7439"
5_11,"In terms of access, about 3 percent of the population spends less per person than the food poverty line of Nu"
5_10,"However 97 percent of fish, 80 percent of beef and 77 percent of pork demand and 90 percent of oils and fats are still met from imports (as of 2010)38"
6_41,5.6.3  Sector Key Result Areas
7_34,Import from Bangladesh in 2010 was recorded at Nu
14_23,The Ministry has also introduced the Inclusive Education programme for children with Special Education Needs (SEN) and has established a division for Special Education Needs under the Department of School Education
5_19,14 billion in 2011/12.
5_18,"In terms of nominal GDP in current prices, agriculture contribution has doubled from Nu 6 billon in 2001/02 to Nu"
12_56,The Department of Engineering Services (DES) will also initiate the construction of bazams and maintenance and technical backstopping for the construction of trail suspension bridges.
7_30,Trade between Bhutan and Bangladesh has seen a substantial increase in the last five years
12_54,The development of regional hubs and centers in eastern Bhutan to promote regional balanced development will be carried out.
12_55,Technical support for construction and maintenance of suspension bridges and mule tracks: There are still many communities who need trail suspension bridges as a principle means of transport
12_52,It will promote the construction of MICE facilities through PPP
6_43,Tourism will be one of the priority sectors under Rapid Investments in Selected Enterprises (RISE) programme
12_50,These are aimed to reduce the vulnerability of people and places to floods.
12_51,Technical support and management for infrastructure development and engineering services: The Department of Engineering Services will provide technical backstopping to all government agencies and Thromdes
14_25,RENEW provides shelter homes and safe houses for the victims of family violence and their children which operate 24 hours a day
17_48,"A team also applied a bio-monitoring tool in the water quality assessment, which includes rapid field assessment of the quality of river considering bottom dwelling larvae of insects which are considered highly sensitive to the increase in pollution"
6_42,5.6.4  Strategies
14_24,The Annual Education Statistic 2012 reports that there are about 343 students and 177 teachers in the eight special education schools.
13_9,"The Department of Human Settlement is responsible for preparation of human settlement policies, strategies and plans."
13_8,In order to address the issues of rapid urbanization and unplanned development a new Department of Human Settlement (DHS) was created by bifurcating the erstwhile Department of Urban Development and Engineering Services into two separate departments in 2011
14_27,"Draktsho provides vocational courses on tailoring, embroidery, weaving, etc"
18_38,"Enhancing government performance and reducing the turn-around time for public service delivery (G2C, G2B and G2G) will be key priorities."
18_39,"Gender - Female participation in elected offices, ratio of female to male in tertiary education, female youth unemployment and gender sensitive policies and working environment are some of the challenges in ensuring gender equality."
13_1,"Human Settlement: Until recently, the focus of this sector was mainly on urban development to meet the needs arising from the rising trends in rural-urban migration and rapid pace of urbanization, particularly in the two major towns of Thimphu and Phuentsholing"
13_0,Human Settlement & Housing Sector
13_3,"This rapid growth in urban population has created severe pressure on existing facilities leading to problems of water shortages, lack of sanitation and waste disposal facilities etc"
13_2,"The Bhutan National Urbanization Strategy 2008 estimates that the average annual growth of urban population in Bhutan during 2000-2005 was 7.3 percent, with Thimphu city experiencing the highest growth at 12.6 percent"
13_5,"However, in spite of major infrastructure expansion, the rural-urban migration trend continues and urban centres continue to face difficulties in provision of urban services"
13_4,"To address these problems, a number of urban development programmes, particularly in Thimphu and Phuentsholing, have been implemented over the last decade"
13_7,"In the meantime, large scale unplanned developments near urban areas are taking place."
13_6,"Further, expansion of the existing services is also constrained by limited land availability in urban areas"
16_16,"Gasa Lamai Singye in 1988, the industry has now produced about 300 films with an average annual production of 30 films"
16_17,"Similarly, about 400 music albums have been marketed"
4_38,5.4.4  Strategies
4_39,The main objective of this sector is to achieve full and productive employment
16_12,"To promote the national language, digital Dzongkha dictionary, Dzongkha keyboard layout in phones with Android software and Dzongkha support in phones with Maemo software (eg Nokia 900 series) have been developed."
16_13,"The Royal Textile Academy in Thimphu, which will serve as a textile school, museum and conservation centre, was inaugurated in June 2013."
11_9,"The main thrust of the roads and bridges sector in the Eleventh Plan will be to complete the national highway grid using environment friendly technology, construction and upgradation of roads connecting to hydro-power projects and to enhance the safety, reliability and quality of roads."
11_8,"The strategic framework for the construction, expansion and maintenance of road infrastructure up to the year 2027 is guided by the Road Sector Master Plan (RSMP)."
4_32,"Projections based on the employment elasticity  of sectoral growth reveal potential for creating 120,000 jobs for corresponding number of job seekers in the Eleventh Plan"
4_33,The services sector presents the highest potential for absorbing job seekers followed by industries and agriculture.
4_30,The Labour Force Survey 2012 estimates that the unemployment rate among the middle secondary education group was the highest at 22.8 percent
4_31,This was followed by the higher secondary education group at 20.4 percent and Bachelor Degree group at 12.3 percent.
4_36,"The share of agriculture sector for new employment is expected to be very low, in absence of any other policy intervention."
4_37,"Hence, jobs will be available but the greater challenge would be to match supply of jobs with the right skills in the labour market."
4_34,"The jobs in service sector - hotels and restaurant; transport, storage and communications; wholesale and retail; real estate, renting and business activities - are expected to grow as a result of doubling of tourist arrivals from 100,000 to 200,000 and initiation of seven new mega hydropower projects during the Eleventh Plan"
4_35,"The jobs in the industrial sector are also expected to grow with the commissioning of three new hydropower projects, establishment of power intensive industries and construction activities related to mega hydropower projects"
17_47,"At Cheri, the river was free from faecal coliforms."
17_9,"Currently, the national forest coverage is about 70.5 percent, which exceeds the Constitutional requirement of maintaining 60 percent forest coverage at all times"
17_8,5.17.1 Current Situation
16_47,5.16.5 Key Programmes:
17_4,"Bhutan issued a declaration during the Fifteenth Conference of Parties to the United Nations Framework Convention on Climate Change (UNFCCC) in 2009 in Copenhagen, Denmark"
17_7,"Bhutan has been able to maintain its natural environment, much of it pristine, due to its strong commitment towards conservation of environment and through enactment of various legislations such as National Environment Protection Act, 2007, Environmental Assessment Act 2000, Regulation for Environmental Clearance of Projects and Regulation on Strategic Environmental Assessment 2002, Waste Prevention and Management Act of Bhutan 2009, Waste Prevention and Management Regulation 2012 and Water Act of Bhutan 2011."
17_6,"In this context, a National Strategy and Action Plan for Low Carbon Development has been formulated in 2012."
17_1,The conservation of environment (one of the four pillars of GNH) is an integral part of our development strategy to ensure that socio-economic development efforts do not come at the cost of our natural environment
17_0,Conservation of Environment
17_3,The GNH Policy Screening tool includes three variables58 on environment from the total of twenty two variables to further enhance efforts to conserve our environment.
17_2,"Since 2009, all new policies introduced by the sectors are subject to GNH Policy Screening to assess the impact of a new policy on GNH"
15_3,"To address this challenge, the BOC undertook a comprehensive situational analysis of the sports sector in 2009 and further, based on the first ever nation-wide Bhutan Sports Baseline Survey 2010 (BSBS, 2010) formulated a Strategic Road Map for the development of organized sports in Bhutan"
15_2,"While efforts to promote and develop sports date back to the early seventies with the establishment of the National Sports Association in 1972 and the Bhutan Olympic Committee (BOC) in November 1983, a focused and coherent development of sports has remained lacking."
15_1,"Recognizing the positive contribution of games and sports in addressing lifestyle related health problems, strengthening community vitality, and preventing juvenile delinquency, amongst other benefits, the promotion and development of sports will be actively pursued in the Eleventh Plan."
15_0,Sports
15_7,"The Ministry of Education, BOC and its 15 affiliated National Sport Federations, volunteers and sports enthusiasts have been responsible for promoting sports in Bhutan."
15_6,5.15.1 Current Situation
15_5,Investments in sports infrastructure will receive priority.
15_4,The main thrust in the Eleventh Plan will be to establish a representative and organized sports sector that will be able to deliver sports and recreation to all and promote a vibrant sporting culture
15_9,About 80 percent of all existing sports facilities in the country are owned by schools and other institutions and many of these facilities are either poorly maintained or are not accessible to local communities
5_62,"Private sector participation will be encouraged in the entire value-chain, starting from agriculture input supply to production, processing, distribution and marketing."
14_30,"Youth Development Fund supports women's Nazhoen Pelri Treatment and Rehabilitation Centre for Drugs and Alcohol Dependence, located in Serbithang and a number of drop in centres for alcohol and/or drug dependent people"
10_18,"Since then, aviation services have expanded to ten international routes connecting Bhutan with India, Thailand, Nepal, Bangladesh and Singapore"
10_19,"Currently, Bhutan has signed Air Service Agreement (ASA) with India, Nepal, Bangladesh, Thailand, Myanmar, Maldives and Singapore"
10_14,"The study recommends Bus Rapid Transit (BRT), high capacity buses (60 seats) which meet European emission standards, for Thimphu to be implemented under Public Private Partnership model"
10_15,"In the meantime, city bus services in Thimphu will continue to be provided by Bhutan Post."
10_16,"To enhance public service delivery, the web-based Registration and Licensing Information System (e-RaLIS) services were launched reducing the turnaround time for issuance of new driving licenses and renewals significantly."
7_35,"190.11 million, which is the highest till date"
10_10,The services were provided by the government till it was fully privatized in 1991
10_11,Today there are 21 operators managing a fleet of more than 209 buses operating on more than 73 routes47
10_12,The transport operators are provided interest subsidy of 60 percent on the loan as an incentive for operating in economically unviable routes.
10_13,"To address urban transportation needs, a study on Bhutan Urban Transport Systems to assess the feasibility of introducing eco-friendly mass urban transport system using clean fuel for Thimphu and Phuentsholing has been completed"
3_24,"In the last 9 months alone, education sector lost 261 teachers34"
3_25,"Therefore, addressing human resource management issues need urgent attention to enhance performance, efficiency and motivation among the civil servants."
3_26,The other key challenge is the implications of growing civil service on recurrent expenditures
3_27,"Currently, pay and allowance comprise about 45 percent of the total recurrent costs"
3_20,"Some of the sectors, particularly health, education, construction, ICT and aviation continue to depend on expatriates and volunteers to fill in the gap."
3_21,"Further, retention of the civil servants is becoming a challenge"
3_22,"Increasingly, many teachers, engineers, doctors and technical professionals are leaving the civil service to join international organizations, corporations, and projects offering better remuneration and service benefits"
3_23,"For instance, in the education sector, where there is already an acute shortage of teachers, the teacher turnover is high at about 4 percent annually"
3_28,If the present annual growth trend of civil service continues it is likely to put a significant burden on recurrent costs in the coming years that may not be sustainable.
3_29,5.3.3  Sector Key Result Areas
17_45,"Results revealed Wangchhu at Babesa highly contaminated, that measured 428 CFU/100 ml faecal coliforms, whereas at Khasadrapchu it showed indication of recovery measuring 46CFU/100 ml water"
10_6,"Also, emphasis will be placed on making our roads safer through extensive advocacy and education programmes."
10_7,"Air Transport activities will focus on expansion of facilities at Paro International Airport, enhance safety and regulatory system and upgradation of three domestic airports including the feasibility and construction of Short Take-Off and Landing (STOL) airstrips."
17_62,"With the ever increasing development activities and industries, a challenge to the environment and planning sector is the cumulative effect of the combined activities on the ecosystem within a given space"
11_39,Programme details are presented in Eleventh Plan Volume II document.
11_38,Construction of Dzongkhag roads: The construction of ongoing Dzongkhag roads Tsebar-Mikuri-Durungri road connecting Gyalposhing-Nganglam Highway will be completed in the Eleventh Plan.
11_35,"On completion of these roads, there will be 7 North-South highways helping to strengthen the road network and facilitate easy movement of goods and services to the Southern borders."
11_34,"Construction/Upgradation of North South Highways: The ongoing North-South highways including Gyalposhing - Nganglam, Gomphu - Panbang, Gesarling - Lhamoizingkha and Damchu - Chukha bypass Road will be completed"
11_37,The upgradation of Chazam - Tashiyangtse will be also carried out for the Kholongchu HPP.
11_36,"Construction and Upgradation/Improvement of roads connecting hydro power projects: The construction of Mandelpong-Digala, Riphay - Koshala and Tingtibi-Praling will be completed"
11_31,The involvement of the private sector in the maintenance of roads will also be explored in order to ensure financial sustainability.
11_30,The government will also explore possibilities of tunneling certain stretches of the highways through PPP wherever feasible
11_33,In the Eleventh Plan the remaining links between Gelephu - Panbang; Sarpang - Lhamoizingkha; Deothang - Nganglam; and Samrang - Jomotsangkha will be constructed.PLANUpgradation/Improvement of Northern East -West Highway: The northern East-West highway from Thimphu to Trashigang will be upgraded and improved.
11_32,5.11.5 Key ProgrammesConstruction  and  Upgradation  of  Southern  East-West  Highway:  The construction and upgradation of the Southern East West Highway (SEWH) from Sipsu to Jomotsangkha will be a priority
2_29,Such adaptations may not necessarily be cost effective and efficient in service delivery.
2_28,"In addition, the easy availability of un-validated information from the net with the ever increasing literate population is forcing the public health system to adapt to the latest medical technologies and medical procedures"
2_27,Delivering Quality Health Care - The public expectation for quality health care is viewed against the five-star private hospitals
2_26,5.2.2  Key Challenges
2_25,The Ministry of Health has started tracking national spending and resource flow in health through the National Health Accounts and other thematic studies to ensure sustainability of healthcare financing.
2_24,The expenditure in the health sector is expected to increase in the coming years with the introduction of new technologies and services and growing incidence of non-communicable diseases for which the associated costs are much greater than for conventional diseases
2_23,The recurrent expenditure to GDP in the Eleventh Plan is projected to be around 0.56 percent
2_22,The government health expenditure as a percentage of GDP stands at 3.23 percent32
2_21,1.2 billion per annum with annual expenditure growth of 12.5 percent
2_20,The government health sector expenditure over the last ten years has averaged Nu
17_52,Environmental conservation is becoming increasingly challenging as we open up to meet the development needs of a growing population
14_10,"Youth Development Fund, which was established as a CSO in 1999 to provide financial support for youth development activities like leadership skills, drug rehabilitation, special education, basic skills and vocational training, advocacy research and education."
7_9,"The main thrust area for the trade, industries and mining sectors in the Eleventh Plan is ""Brand Bhutan, Economic Diversification and Inter-generational Equity""."
7_8,"- potential sectors include tourism, Information and Communication Technology (ICT) and IT enabled industries, cultural industries, construction and high-value niche commercial and organic agricultural products."
14_11,"Tarayana Foundation, which was established in 2003 to help the poor and disadvantaged communities become self reliant through programmes aimed at building local capacities, providing scholarships, facilitating micro-finance and housing improvement."
